,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,index,prev_label,prev_rate
45,20211206,23.614999771118164,24.059999465942383,23.09000015258789,23.6299991607666,4991850,0,0,DISCK,True,0.018534413089935923
46,20211206,349.1499938964844,356.79998779296875,346.7900085449219,348.1600036621094,851481,0,0,SBAC,False,-0.001519971251214568
47,20211206,0.00019999999494757503,0.00019999999494757503,9.999999747378752e-05,0.00019999999494757503,168947347,0,0,INCT,True,0.0
48,20211206,152.22000122070312,159.4842071533203,152.22000122070312,156.6999969482422,2416603,0,0,MAR,True,0.04480598354537231
49,20211206,308.1300048828125,320.1000061035156,306.35009765625,317.8699951171875,21213331,0,0,FB,True,0.03594706984401961
50,20211206,606.010009765625,617.2899780273438,601.0,612.6900024414062,3010540,0,0,NFLX,True,0.017537736822547074
51,20211206,229.10000610351562,230.3800048828125,225.8000946044922,227.4600067138672,532801,0,0,TSCO,False,-0.002193367192814634
52,20211206,1001.510009765625,1021.6400146484375,950.510009765625,1009.010009765625,27031087,0,0,TSLA,False,-0.005872056424852856
53,20211206,21.15999984741211,21.799999237060547,21.139999389648438,21.420000076293945,6470836,0,0,MAT,True,0.020000003633045015
54,20211206,24.43000030517578,24.90999984741211,23.770000457763672,24.399999618530273,6580777,0,0,DISCA,True,0.017090448158557838
55,20211206,110.79000091552734,111.37999725341797,109.41000366210938,111.05000305175781,1362090,0,0,AKAM,False,-0.0008097565087714697
56,20211206,120.91999816894531,122.25,120.55000305175781,121.93000030517578,1256561,0,0,PAYX,True,0.01777960934189405
57,20211206,346.2099914550781,353.6000061035156,342.07000732421875,351.6499938964844,1074766,0,0,ILMN,True,0.012583492088655288
58,20211206,16.950000762939453,18.540000915527344,16.90999984741211,17.93000030517578,73816135,0,0,AAL,True,0.07882066184076118
59,20211206,216.72500610351562,217.02999877929688,203.1199951171875,213.41000366210938,2579716,0,0,XLNX,False,-0.016815599085681764
60,20211206,36.400001525878906,36.97999954223633,36.2400016784668,36.52000045776367,2585068,0,0,FOXA,True,0.013318521921277944
61,20211206,76.5199966430664,76.94999694824219,74.2699966430664,75.19000244140625,22082157,0,0,JD,False,-0.03540724329557753
62,20211206,665.4000244140625,672.8599853515625,660.7000122070312,661.4299926757812,386977,0,0,ORLY,True,0.003413331753087151
63,20211206,2871.47998046875,2886.72998046875,2812.93994140625,2875.929931640625,1093337,0,0,GOOG,True,0.008953105103526862
64,20211206,564.6473999023438,568.3729248046875,555.9500122070312,564.97998046875,2240602,0,0,AVGO,True,0.012291237389053085
65,20211206,642.3599853515625,644.7000122070312,624.5999755859375,625.0,535467,0,0,REGN,False,-0.015995927914398564
66,20211206,206.3800048828125,211.7899932861328,205.97000122070312,208.7899932861328,3887819,0,0,AMGN,True,0.03136727310880412
67,20211206,232.3800048828125,233.3000030517578,230.80999755859375,232.1999969482422,2237880,0,0,ADP,True,0.010048273368683846
68,20211206,176.8800048828125,176.98019409179688,172.27000427246094,175.4499969482422,8364019,0,0,QCOM,False,-0.006005311832654882
69,20211206,111.73999786376953,114.13999938964844,111.3499984741211,112.68000030517578,1667412,0,0,ROST,True,0.02259731199383168
70,20211206,27.59000015258789,27.989999771118164,27.40999984741211,27.670000076293945,1249560,0,0,LBTYA,True,0.015040346440559328
71,20211206,36.209999084472656,37.01499938964844,36.16999816894531,36.7599983215332,14160062,0,0,CSX,True,0.0256695916581597
72,20211206,18.5,20.729999542236328,18.309999465942383,20.030000686645508,37079097,0,0,NCLH,True,0.09513393570368751
73,20211206,4.815000057220459,5.130000114440918,4.630000114440918,5.019999980926514,5316030,0,0,ENDP,True,0.006012066369619719
74,20211206,100.97000122070312,104.12999725341797,100.83999633789062,103.12999725341797,4513927,0,0,FISV,True,0.026169126899681282
75,20211206,164.2899932861328,167.87989807128906,164.27999877929688,165.32000732421875,106676552,0,0,AAPL,True,0.021502787105002984
76,20211206,138.00999450683594,140.1999969482422,136.52000427246094,137.80999755859375,1974808,0,0,DLTR,True,0.005618828883428257
77,20211206,113.72000122070312,116.23999786376953,112.76000213623047,115.62999725341797,5038540,0,0,TMUS,True,0.025361361137607234
78,20211206,91.0,90.9800033569336,88.0,88.19999694824219,1574755,0,0,NTAP,False,-0.020544209226204042
79,20211206,79.47000122070312,81.29000091552734,78.51000213623047,80.72000122070312,2789142,0,0,CTSH,True,0.028018398773466922
80,20211206,81.83000183105469,83.2300033569336,80.52999877929688,82.44999694824219,14796806,0,0,MU,True,0.010169004823942052
81,20211206,664.9277954101562,670.6400146484375,642.4299926757812,667.5599975585938,1202719,0,0,LRCX,True,0.009206807754243497
